ID,Series_Title,IMDB_Rating,Meta_score
25,Saving Private Ryan,8.6,91.0
47,Hotaru no haka,8.5,94.0
51,Casablanca,8.5,100.0
75,Apocalypse Now,8.4,94.0
81,Paths of Glory,8.4,90.0
85,1917,8.3,78.0
91,Incendies,8.3,80.0
94,Inglourious Basterds,8.3,69.0
105,Full Metal Jacket,8.3,76.0
151,Pan's Labyrinth,8.2,98.0
173,Ran,8.2,96.0
183,Judgment at Nuremberg,8.2,60.0
193,To Be or Not to Be,8.2,86.0
237,Taegukgi hwinalrimyeo,8.1,64.0
269,Platoon,8.1,92.0
279,The Deer Hunter,8.1,86.0
305,The Bridge on the River Kwai,8.1,87.0
409,Au revoir les enfants,8.0,88.0
413,Kagemusha,8.0,84.0
431,Doctor Zhivago,8.0,69.0
455,The Best Years of Our Lives,8.0,93.0
462,All Quiet on the Western Front,8.0,91.0
476,Jojo Rabbit,7.9,58.0
510,No Man's Land,7.9,84.0
543,Patton,7.9,91.0
582,Under sandet,7.8,75.0
617,The Boy in the Striped Pyjamas,7.8,55.0
693,The Man Who Would Be King,7.8,91.0
773,Zwartboek,7.7,71.0
791,Black Hawk Down,7.7,74.0
847,Love and Death,7.7,89.0
855,Where Eagles Dare,7.7,63.0
861,Zulu,7.7,77.0
951,Enemy at the Gates,7.6,53.0
956,The Thin Red Line,7.6,78.0
991,Giù la testa,7.6,77.0
992,Kelly's Heroes,7.6,50.0
998,From Here to Eternity,7.6,85.0
